Antibody;Ab state;PrEST;Multi-targeting;Gene;Gene desc;ENSG;Uniprot;Protein class;Single cell type Enriched/Enhanced Tissue
HPA054745;1000:Published;HPRR3300011;0;BCAS1;brain enriched myelin associated protein 1;ENSG00000064787;O75363;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Oligodendrocyte precursor cells,Intestinal goblet cells,Gastric mucus-secreting cells,Distal enterocytes
HPA055094;1000:Published;HPRR3760951;0;LRTM2;leucine rich repeats and transmembrane domains 2;ENSG00000166159;Q8N967;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins";Horizontal cells,Excitatory neurons,Inhibitory neurons,Bipolar cells
HPA055149;1000:Published;HPRR3790800;0;PRRT1;proline rich transmembrane protein 1;ENSG00000204314;Q99946;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Bipolar cells,Ovarian stromal cells,Horizontal cells,Excitatory neurons
HPA055177;1000:Published;HPRR3910057;0;VGF;VGF nerve growth factor inducible;ENSG00000128564;O15240;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Pancreatic endocrine cells,Horizontal cells,Enteroendocrine cells,Inhibitory neurons,Distal tubular cells
HPA055583;1000:Published;HPRR2551560;0;TRIM46;tripartite motif containing 46;ENSG00000163462;Q7Z4K8;"Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014)";Excitatory neurons,Horizontal cells,Late spermatids,Inhibitory neurons,Oligodendrocytes
HPA055990;1000:Published;HPRR3830322;0;CASKIN1;CASK interacting protein 1;ENSG00000167971;Q8WXD9;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);SH3-domain containing proteins";Horizontal cells,Astrocytes,Oligodendrocyte precursor cells,Inhibitory neurons,Bipolar cells,Excitatory neurons,Muller glia cells
HPA056030;1000:Published;HPRR3830175;0;GFAP;glial fibrillary acidic protein;ENSG00000131095;P14136;"Candidate cardiovascular disease genes;Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Astrocytes
HPA056191;1000:Published;HPRR2990170;0;NSG2;neuronal vesicle trafficking associated 2;ENSG00000170091;Q9Y328;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Oligodendrocyte precursor cells,Horizontal cells,Excitatory neurons,Early spermatids
HPA058935;1000:Published;HPRR3790507;0;SHISA7;shisa family member 7;ENSG00000187902;A6NL88;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters";Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,Oligodendrocytes,Horizontal cells
HPA059099;1000:Published;HPRR3790797;0;PRRT1;proline rich transmembrane protein 1;ENSG00000204314;Q99946;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Bipolar cells,Ovarian stromal cells,Horizontal cells,Excitatory neurons
HPA059173;1000:Published;HPRR3680366;0;SHISA8;shisa family member 8;ENSG00000234965;B8ZZ34;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Transporters";Oocytes,Horizontal cells
HPA061671;1000:Published;HPRR3970208;0;SYNPR;synaptoporin;ENSG00000163630;Q8TBG9;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons
HPA061884;1000:Published;HPRR4050077;0;PMCH;pro-melanin concentrating hormone;ENSG00000183395;P20382;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins";T-cells
HPA063513;1000:Published;HPRR3830174;0;GFAP;glial fibrillary acidic protein;ENSG00000131095;P14136;"Candidate cardiovascular disease genes;Cytoskeleton related proteins;Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Astrocytes
HPA064454;1000:Published;HPRR3830374;0;GPR37L1;G protein-coupled receptor 37 like 1;ENSG00000170075;O60883;"G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Astrocytes,Oligodendrocyte precursor cells,Muller glia cells,Schwann cells,Oligodendrocytes
HPA064621;1000:Published;HPRR4260043;0;SOWAHA;sosondowah ankyrin repeat domain family member A;ENSG00000198944;Q2M3V2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins";Proximal enterocytes,Horizontal cells,Muller glia cells,Distal enterocytes,Paneth cells,Intestinal goblet cells
HPA064801;1000:Published;HPRR4150014;0;HCRT;hypocretin neuropeptide precursor;ENSG00000161610;O43612;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted secreted proteins";Kupffer cells,Collecting duct cells,Oligodendrocyte precursor cells,Enteroendocrine cells,Pancreatic endocrine cells,B-cells
HPA066861;1000:Published;HPRR4120256;0;FAM181B;family with sequence similarity 181 member B;ENSG00000182103;A6NEQ2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins";Astrocytes,Muller glia cells,Oligodendrocyte precursor cells,Oligodendrocytes,Schwann cells
HPA067499;1000:Published;HPRR4180078;0;SLC1A2;solute carrier family 1 member 2;ENSG00000110436;P43004;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Astrocytes
HPA069524;1000:Published;HPRR3420703;0;MAPT;microtubule associated protein tau;ENSG00000186868;P10636;"Candidate cardiovascular disease genes;Cytoskeleton related proteins;Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Late spermatids,Bipolar cells,Horizontal cells,Excitatory neurons,Oligodendrocytes,Inhibitory neurons,Astrocytes,Early spermatids,Muller glia cells,Oligodendrocyte precursor cells
HPA069570;1000:Published;HPRR3420701;0;MAPT;microtubule associated protein tau;ENSG00000186868;P10636;"Candidate cardiovascular disease genes;Cytoskeleton related proteins;Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Late spermatids,Bipolar cells,Horizontal cells,Excitatory neurons,Oligodendrocytes,Inhibitory neurons,Astrocytes,Early spermatids,Muller glia cells,Oligodendrocyte precursor cells
HPA070820;1000:Published;HPRR3970113;0;PEA15;proliferation and apoptosis adaptor protein 15;ENSG00000162734;Q15121;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Muller glia cells,Langerhans cells,Cardiomyocytes
HPA071150;1000:Published;HPRR4050312;0;SKOR1;SKI family transcriptional corepressor 1;ENSG00000188779;P84550;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins";Oocytes,Late spermatids,Early spermatids
HPA071191;1000:Published;HPRR4370164;1;"CPLX1;CPLX2";"complexin 1;complexin 2";"ENSG00000145920;ENSG00000168993";"O14810;Q6PUV4";"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";"Inhibitory neurons,Horizontal cells,Adipocytes,Excitatory neurons,Dendritic cells,Bipolar cells,Endothelial cells;Horizontal cells,Excitatory neurons,Late spermatids,Inhibitory neurons,Enteroendocrine cells"
HPA071892;1000:Published;HPRR4430023;1;"OXT;AVP";"oxytocin/neurophysin I prepropeptide;arginine vasopressin";"ENSG00000101200;ENSG00000101405";"P01178;P01185";"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted secreted proteins";"Oocytes,Late spermatids,Hepatocytes,Proximal tubular cells;Proximal tubular cells,Late spermatids,Dendritic cells"
HPA072505;1000:Published;HPRR3910059;0;VGF;VGF nerve growth factor inducible;ENSG00000128564;O15240;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Pancreatic endocrine cells,Horizontal cells,Enteroendocrine cells,Inhibitory neurons,Distal tubular cells
HPA074314;1000:Published;HPRR4110243;0;B3GAT1;beta-1,3-glucuronyltransferase 1;ENSG00000109956;Q9P2W7;"Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted secreted proteins";Muller glia cells,Oligodendrocytes,Horizontal cells,Excitatory neurons,Oligodendrocyte precursor cells,Bipolar cells,Inhibitory neurons,Astrocytes
HPA074390;1000:Published;HPRR4370163;1;"CPLX1;CPLX2";"complexin 1;complexin 2";"ENSG00000145920;ENSG00000168993";"O14810;Q6PUV4";"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";"Inhibitory neurons,Horizontal cells,Adipocytes,Excitatory neurons,Dendritic cells,Bipolar cells,Endothelial cells;Horizontal cells,Excitatory neurons,Late spermatids,Inhibitory neurons,Enteroendocrine cells"
HPA074550;1000:Published;HPRR3720284;0;ADAM11;ADAM metallopeptidase domain 11;ENSG00000073670;O75078;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters";Excitatory neurons,Horizontal cells,Inhibitory neurons,Cardiomyocytes,Astrocytes
HPA074653;1000:Published;HPRR4220429;0;LINGO1;leucine rich repeat and Ig domain containing 1;ENSG00000169783;Q96FE5;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes,Excitatory neurons,Astrocytes,Oligodendrocyte precursor cells,Inhibitory neurons,Microglial cells,Horizontal cells
HPA074844;1000:Published;HPRR4180901;0;CHIT1;chitinase 1;ENSG00000133063;Q13231;"Candidate cardiovascular disease genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Macrophages,Club cells,Hofbauer cells,Granulocytes
HPA075831;1000:Published;HPRR3890776;0;AGAP2;ArfGAP with GTPase domain, ankyrin repeat and PH domain 2;ENSG00000135439;Q99490;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Excitatory neurons,NK-cells,Horizontal cells,T-cells,Sertoli cells,Inhibitory neurons
HPA076140;1000:Published;HPRR4520168;0;PCDHGC5;protocadherin gamma subfamily C, 5;ENSG00000240764;Q9Y5F6;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)";
HPA077062;1000:Published;HPRR4390109;0;NPTX1;neuronal pentraxin 1;ENSG00000171246;Q15818;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Cone photoreceptor cells,Excitatory neurons,Late spermatids,Horizontal cells
HPA077218;1000:Published;HPRR4290631;0;LY6H;lymphocyte antigen 6 family member H;ENSG00000176956;O94772;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons,Spermatogonia,Excitatory neurons,Adipocytes,Oligodendrocyte precursor cells,Enteroendocrine cells,Horizontal cells
HPA031302;500:Pending IH-testing;HPRR2890107;0;APP;amyloid beta precursor protein;ENSG00000142192;P05067;"Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA031303;500:Pending IH-testing;HPRR2890106;0;APP;amyloid beta precursor protein;ENSG00000142192;P05067;"Disease related genes;FDA approved drug targets;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA066488;500:Pending IH-testing;HPRR3100541;0;MAP1A;microtubule associated protein 1A;ENSG00000166963;P78559;"Cytoskeleton related proteins;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Dendritic cells,Horizontal cells,Peritubular cells,Ciliated cells
HPA072162;500:Pending IH-testing;HPRR3340004;1;"VSNL1;HPCAL4";"visinin like 1;hippocalcin like 4";"ENSG00000116983;ENSG00000163032";"P62760;Q9UM19";"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";"Excitatory neurons,Inhibitory neurons,Basal keratinocytes,Squamous epithelial cells,Basal squamous epithelial cells;Bipolar cells,Horizontal cells,Inhibitory neurons,Excitatory neurons,Distal tubular cells,Sertoli cells,Granulosa cells"
HPA000661;502:Failed IH-testing;HPRR221051;0;RTN4R;reticulon 4 receptor;ENSG00000040608;Q9BZR6;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Excitatory neurons,Bipolar cells,Granulosa cells,Muller glia cells
HPA001244;502:Failed IH-testing;HPRR221052;0;RTN4R;reticulon 4 receptor;ENSG00000040608;Q9BZR6;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Excitatory neurons,Bipolar cells,Granulosa cells,Muller glia cells
HPA003572;502:Failed IH-testing;HPRR221132;0;MAPK8IP2;mitogen-activated protein kinase 8 interacting protein 2;ENSG00000008735;Q13387;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);SH3-domain containing proteins";Horizontal cells,Bipolar cells,Rod photoreceptor cells
HPA005562;502:Failed IH-testing;HPRR1390031;0;SPP1;secreted phosphoprotein 1;ENSG00000118785;P10451;"Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Hofbauer cells
HPA007864;502:Failed IH-testing;HPRR1920062;0;OMG;oligodendrocyte myelin glycoprotein;ENSG00000126861;P23515;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Ciliated cells,Ionocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Basal respiratory cells,Muller glia cells
HPA008144;502:Failed IH-testing;HPRR1920038;0;SEZ6;seizure related 6 homolog;ENSG00000063015;Q53EL9;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Horizontal cells,Bipolar cells,Inhibitory neurons,Cone photoreceptor cells,Rod photoreceptor cells,Excitatory neurons
HPA008913;502:Failed IH-testing;HPRR680310;0;MYT1;myelin transcription factor 1;ENSG00000196132;Q01538;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted";Oligodendrocyte precursor cells,Cone photoreceptor cells,Bipolar cells,Rod photoreceptor cells,Horizontal cells
HPA009170;502:Failed IH-testing;HPRR1920030;0;DNM1;dynamin 1;ENSG00000106976;Q05193;"Cytoskeleton related proteins;Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Horizontal cells,Rod photoreceptor cells,Bipolar cells,Cone photoreceptor cells
HPA009278;502:Failed IH-testing;HPRR1920030;0;DNM1;dynamin 1;ENSG00000106976;Q05193;"Cytoskeleton related proteins;Disease related genes;Enzymes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Inhibitory neurons,Excitatory neurons,Horizontal cells,Rod photoreceptor cells,Bipolar cells,Cone photoreceptor cells
HPA010115;502:Failed IH-testing;HPRR1950860;0;CHIT1;chitinase 1;ENSG00000133063;Q13231;"Candidate cardiovascular disease genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Macrophages,Club cells,Hofbauer cells,Granulocytes
HPA010538;502:Failed IH-testing;HPRR1950343;0;TMEM59L;transmembrane protein 59 like;ENSG00000105696;Q9UK28;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Transporters";Excitatory neurons,Inhibitory neurons,Horizontal cells,Bipolar cells,Muller glia cells,Oligodendrocyte precursor cells,Astrocytes
HPA010958;502:Failed IH-testing;HPRR1951698;0;LINGO1;leucine rich repeat and Ig domain containing 1;ENSG00000169783;Q96FE5;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes,Excitatory neurons,Astrocytes,Oligodendrocyte precursor cells,Inhibitory neurons,Microglial cells,Horizontal cells
HPA011021;502:Failed IH-testing;HPRR1951710;0;NSG2;neuronal vesicle trafficking associated 2;ENSG00000170091;Q9Y328;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Oligodendrocyte precursor cells,Horizontal cells,Excitatory neurons,Early spermatids
HPA011022;502:Failed IH-testing;HPRR1951711;0;NSG2;neuronal vesicle trafficking associated 2;ENSG00000170091;Q9Y328;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Oligodendrocyte precursor cells,Horizontal cells,Excitatory neurons,Early spermatids
HPA011091;502:Failed IH-testing;HPRR1951710;0;NSG2;neuronal vesicle trafficking associated 2;ENSG00000170091;Q9Y328;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Oligodendrocyte precursor cells,Horizontal cells,Excitatory neurons,Early spermatids
HPA011092;502:Failed IH-testing;HPRR1951711;0;NSG2;neuronal vesicle trafficking associated 2;ENSG00000170091;Q9Y328;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Inhibitory neurons,Oligodendrocyte precursor cells,Horizontal cells,Excitatory neurons,Early spermatids
HPA011207;502:Failed IH-testing;HPRR1950898;0;PCDH8;protocadherin 8;ENSG00000136099;O95206;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Excitatory neurons,Muller glia cells,Inhibitory neurons,Bipolar cells
HPA011787;502:Failed IH-testing;HPRR1950202;0;PCDHGC5;protocadherin gamma subfamily C, 5;ENSG00000240764;Q9Y5F6;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)";
HPA012067;502:Failed IH-testing;HPRR1920039;0;SEZ6;seizure related 6 homolog;ENSG00000063015;Q53EL9;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Horizontal cells,Bipolar cells,Inhibitory neurons,Cone photoreceptor cells,Rod photoreceptor cells,Excitatory neurons
HPA012103;502:Failed IH-testing;HPRR1950202;0;PCDHGC5;protocadherin gamma subfamily C, 5;ENSG00000240764;Q9Y5F6;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Kim et al 2014)";
HPA012141;502:Failed IH-testing;HPRR1950861;0;CHIT1;chitinase 1;ENSG00000133063;Q13231;"Candidate cardiovascular disease genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Macrophages,Club cells,Hofbauer cells,Granulocytes
HPA012322;502:Failed IH-testing;HPRR260370;0;CNTN2;contactin 2;ENSG00000184144;Q02246;"Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters";Oligodendrocytes
HPA012715;502:Failed IH-testing;HPRR1951163;0;CDH22;cadherin 22;ENSG00000149654;Q9UJ99;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins";Excitatory neurons
HPA013359;502:Failed IH-testing;HPRR1950128;0;WSCD2;WSC domain containing 2;ENSG00000075035;Q2TBF2;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins";Bipolar cells,Excitatory neurons,Inhibitory neurons,Horizontal cells,Oligodendrocyte precursor cells
HPA013730;502:Failed IH-testing;HPRR2090069;0;GRM4;glutamate metabotropic receptor 4;ENSG00000124493;Q14833;"G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014)";Horizontal cells,Inhibitory neurons,Excitatory neurons,Spermatogonia,Late spermatids
HPA013782;502:Failed IH-testing;HPRR2090174;0;GRM5;glutamate metabotropic receptor 5;ENSG00000168959;P41594;"FDA approved drug targets;G-protein coupled receptors;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Kim et al 2014);Transporters";Oligodendrocyte precursor cells,Inhibitory neurons,Excitatory neurons
HPA013813;502:Failed IH-testing;HPRR1952081;0;PCDH9;protocadherin 9;ENSG00000184226;Q9HC56;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Astrocytes,Inhibitory neurons
HPA014378;502:Failed IH-testing;HPRR2010001;0;TAC1;tachykinin precursor 1;ENSG00000006128;P20366;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins";Inhibitory neurons,Enteroendocrine cells
HPA015235;502:Failed IH-testing;HPRR1820070;0;CRH;corticotropin releasing hormone;ENSG00000147571;P06850;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Syncytiotrophoblasts
HPA015512;502:Failed IH-testing;HPRR1920026;0;PTPRZ1;protein tyrosine phosphatase receptor type Z1;ENSG00000106278;P23471;"Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Oligodendrocyte precursor cells
HPA015703;502:Failed IH-testing;HPRR1820070;0;CRH;corticotropin releasing hormone;ENSG00000147571;P06850;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Syncytiotrophoblasts
HPA017174;502:Failed IH-testing;HPRR1950419;0;B3GAT1;beta-1,3-glucuronyltransferase 1;ENSG00000109956;Q9P2W7;"Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted secreted proteins";Muller glia cells,Oligodendrocytes,Horizontal cells,Excitatory neurons,Oligodendrocyte precursor cells,Bipolar cells,Inhibitory neurons,Astrocytes
HPA017663;502:Failed IH-testing;HPRR1952206;0;VSTM2B;V-set and transmembrane domain containing 2B;ENSG00000187135;A6NLU5;"Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins";Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,Horizontal cells,Bipolar cells
HPA019525;502:Failed IH-testing;HPRR2390053;0;KLK6;kallikrein related peptidase 6;ENSG00000167755;Q92876;"Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)";Secretory cells,Oligodendrocytes,Mucus glandular cells,Breast glandular cells,Salivary duct cells
